MatchID,Team,Player,Runs,StrikeRate,Wickets,Fours,Sixes
1,Quetta Gladiators,Asif Ali,4,70.56,2,7,4
1,Quetta Gladiators,David Wiese,58,72.34,4,2,2
1,Quetta Gladiators,Shoaib Malik,78,97.78,3,9,5
1,Quetta Gladiators,Shadab Khan,38,139.06,4,8,4
1,Quetta Gladiators,Sarfaraz Ahmed,62,156.31,2,7,6
1,Quetta Gladiators,Mohammad Hafeez,2,105.25,0,6,4
1,Quetta Gladiators,Imad Wasim,39,169.51,0,9,3
1,Quetta Gladiators,Haider Ali,33,195.06,4,9,1
1,Quetta Gladiators,Haris Rauf,92,57.7,3,2,4
1,Quetta Gladiators,Babar Azam,80,158.18,3,2,6
1,Quetta Gladiators,Ben Cutting,87,86.33,4,1,1
1,Karachi Kings,Babar Azam,60,180.92,0,2,4
1,Karachi Kings,Usman Qadir,26,134.13,3,8,3
1,Karachi Kings,Asif Ali,40,193.5,3,8,2
1,Karachi Kings,Haris Rauf,69,103.14,2,9,3
1,Karachi Kings,Shadab Khan,24,193.6,2,8,2
1,Karachi Kings,Sarfaraz Ahmed,28,191.22,2,4,5
1,Karachi Kings,Shoaib Malik,26,153.54,3,5,3
1,Karachi Kings,Fakhar Zaman,44,134.07,2,4,0
1,Karachi Kings,Chris Jordan,73,151.49,3,6,6
1,Karachi Kings,Imad Wasim,44,193.19,1,4,0
1,Karachi Kings,Mohammad Hafeez,36,193.3,0,5,3
2,Quetta Gladiators,Imad Wasim,78,161.13,1,3,0
2,Quetta Gladiators,Haider Ali,85,185.78,1,10,1
2,Quetta Gladiators,Sarfaraz Ahmed,6,65.03,2,7,0
2,Quetta Gladiators,David Wiese,87,165.61,0,8,1
2,Quetta Gladiators,Ben Cutting,52,147.93,3,7,5
2,Quetta Gladiators,Usman Qadir,25,163.39,2,5,2
2,Quetta Gladiators,Chris Jordan,82,58.87,0,10,4
2,Quetta Gladiators,Shoaib Malik,29,130.27,0,2,3
2,Quetta Gladiators,Shadab Khan,22,190.09,0,6,6
2,Quetta Gladiators,Mohammad Rizwan,63,77.95,2,0,0
2,Quetta Gladiators,Shaheen Afridi,38,135.19,0,5,2
2,Karachi Kings,Usman Qadir,42,74.37,3,10,2
2,Karachi Kings,David Wiese,91,77.93,2,4,4
2,Karachi Kings,Mohammad Nawaz,86,163.59,1,9,6
2,Karachi Kings,Haider Ali,81,184.56,3,8,2
2,Karachi Kings,Shadab Khan,11,110.12,0,2,1
2,Karachi Kings,Haris Rauf,61,98.54,1,0,2
2,Karachi Kings,Imad Wasim,49,85.33,2,5,2
2,Karachi Kings,Wahab Riaz,74,158.43,0,4,5
2,Karachi Kings,Chris Jordan,46,153.92,0,10,0
2,Karachi Kings,Fakhar Zaman,59,96.02,3,10,4
2,Karachi Kings,Shaheen Afridi,90,165.48,0,10,2
3,Karachi Kings,Shoaib Malik,89,132.39,3,8,6
3,Karachi Kings,Wahab Riaz,85,173.84,1,10,6
3,Karachi Kings,Chris Jordan,76,180.97,0,8,3
3,Karachi Kings,Shadab Khan,67,155.56,0,9,0
3,Karachi Kings,Haider Ali,7,174.32,4,3,4
3,Karachi Kings,Mohammad Rizwan,68,72.48,2,8,3
3,Karachi Kings,David Wiese,14,152.04,4,7,0
3,Karachi Kings,Ben Cutting,65,116.82,0,7,1
3,Karachi Kings,Mohammad Hafeez,65,112.31,4,0,4
3,Karachi Kings,Hasan Ali,59,150.92,2,0,3
3,Karachi Kings,Sarfaraz Ahmed,32,172.47,1,9,0
3,Lahore Qalandars,Shaheen Afridi,23,165.35,3,5,3
3,Lahore Qalandars,Haris Rauf,57,180.44,3,6,0
3,Lahore Qalandars,Shoaib Malik,87,194.62,4,2,5
3,Lahore Qalandars,Mohammad Rizwan,44,67.79,4,6,4
3,Lahore Qalandars,Ben Cutting,16,159.18,1,0,6
3,Lahore Qalandars,Usman Qadir,2,196.77,3,10,5
3,Lahore Qalandars,Haider Ali,69,113.62,3,3,1
3,Lahore Qalandars,Wahab Riaz,58,101.92,2,3,5
3,Lahore Qalandars,Babar Azam,97,66.93,3,9,6
3,Lahore Qalandars,Shadab Khan,2,86.1,0,1,4
3,Lahore Qalandars,Sarfaraz Ahmed,4,116.97,0,3,5
4,Lahore Qalandars,Shaheen Afridi,37,85.12,4,5,4
